ID,isDelinquent,term,gender,purpose,home_ownership,age,FICO
55,1,36 months,Female,House,Mortgage,>25,300-500
56,1,36 months,Male,House,Mortgage,20-25,300-500
57,0,36 months,Female,House,Mortgage,>25,>500
58,1,36 months,Male,House,Mortgage,20-25,300-500
59,1,60 months,Male,House,Mortgage,20-25,>500
60,1,36 months,Female,Car,Rent,>25,300-500
61,0,60 months,Male,House,Rent,>25,300-500
62,0,36 months,Female,House,Mortgage,>25,>500
63,1,36 months,Female,Other,Rent,>25,300-500
64,0,60 months,Male,Car,Rent,>25,>500
65,1,36 months,Female,Medical,Mortgage,20-25,300-500
66,1,36 months,Male,House,Rent,>25,>500
67,1,36 months,Female,Personal,Mortgage,>25,>500
68,0,36 months,Female,House,Rent,>25,>500
69,0,36 months,Male,Car,Rent,20-25,>500
70,1,36 months,Male,House,Mortgage,20-25,300-500
71,1,36 months,Male,Wedding,Rent,20-25,300-500
72,1,36 months,Male,House,Rent,>25,>500
73,1,36 months,Male,House,Mortgage,>25,>500
74,1,36 months,Male,Car,Mortgage,20-25,300-500
75,1,36 months,Female,Personal,Mortgage,>25,300-500
76,1,36 months,Female,House,Mortgage,20-25,300-500
77,1,36 months,Female,Personal,Mortgage,20-25,300-500
78,1,36 months,Female,House,Own,>25,300-500
79,1,36 months,Female,House,Mortgage,>25,300-500
80,1,36 months,Female,Wedding,Rent,>25,300-500
81,1,36 months,Male,House,Rent,20-25,300-500
82,0,36 months,Male,Car,Rent,20-25,300-500
83,1,36 months,Male,House,Own,20-25,300-500
84,0,60 months,Male,Personal,Rent,>25,300-500
85,1,36 months,Female,House,Rent,>25,300-500
86,0,36 months,Female,Personal,Mortgage,>25,>500
87,1,36 months,Female,House,Rent,>25,300-500
88,0,36 months,Female,Other,Mortgage,20-25,>500
89,0,60 months,Male,House,Rent,>25,300-500
90,1,36 months,Male,Wedding,Mortgage,20-25,300-500
91,0,36 months,Female,House,Rent,>25,>500
92,1,36 months,Male,Other,Rent,20-25,>500
93,1,36 months,Male,House,Mortgage,>25,>500
94,1,36 months,Female,House,Rent,20-25,300-500
95,1,36 months,Male,Car,Rent,20-25,300-500
96,1,36 months,Female,House,Rent,>25,300-500
97,1,36 months,Female,House,Rent,>25,300-500
98,0,36 months,Female,Other,Rent,>25,>500
99,1,36 months,Female,Car,Rent,20-25,300-500
100,0,60 months,Male,House,Mortgage,20-25,>500
101,1,36 months,Male,House,Rent,20-25,300-500
102,1,60 months,Male,House,Rent,20-25,>500
103,1,36 months,Female,House,Rent,>25,300-500
104,1,36 months,Male,Other,Rent,20-25,300-500
105,0,36 months,Female,Other,Mortgage,>25,>500
106,0,36 months,Male,House,Rent,20-25,300-500
107,1,36 months,Female,Wedding,Mortgage,20-25,300-500
108,0,36 months,Female,House,Mortgage,>25,>500
109,0,36 months,Male,House,Rent,20-25,>500
110,0,36 months,Male,House,Mortgage,20-25,300-500
111,0,36 months,Female,Other,Mortgage,20-25,>500
112,0,36 months,Male,House,Own,20-25,>500
113,1,36 months,Female,House,Mortgage,20-25,>500
114,0,36 months,Female,Medical,Rent,20-25,>500
115,0,36 months,Male,House,Rent,20-25,>500
116,1,36 months,Male,House,Rent,>25,>500
117,1,36 months,Male,House,Rent,20-25,300-500
118,0,36 months,Female,House,Mortgage,20-25,>500
119,1,36 months,Female,Personal,Mortgage,>25,300-500
120,1,36 months,Male,Personal,Mortgage,20-25,300-500
121,1,36 months,Male,House,Rent,20-25,300-500
122,1,36 months,Female,Medical,Rent,>25,300-500
123,1,36 months,Female,Other,Mortgage,>25,300-500
124,1,36 months,Female,Car,Mortgage,>25,300-500
125,1,36 months,Male,Other,Rent,20-25,300-500
126,1,36 months,Male,Car,Rent,20-25,300-500
127,0,36 months,Male,Car,Rent,20-25,300-500
128,1,36 months,Male,House,Mortgage,20-25,300-500
129,0,36 months,Male,House,Rent,>25,>500
130,1,36 months,Male,House,Mortgage,>25,>500
131,0,36 months,Male,House,Mortgage,20-25,>500
132,1,36 months,Female,Other,Mortgage,20-25,300-500
133,1,36 months,Male,House,Mortgage,>25,>500
134,1,36 months,Female,Other,Rent,>25,300-500
135,1,36 months,Female,House,Rent,>25,300-500
136,1,36 months,Female,Other,Mortgage,>25,300-500
137,0,36 months,Male,House,Mortgage,20-25,>500
138,1,36 months,Female,Personal,Mortgage,>25,300-500
139,0,36 months,Female,Other,Rent,>25,>500
140,1,36 months,Female,Wedding,Rent,>25,300-500
141,0,36 months,Female,Other,Mortgage,>25,>500
142,1,36 months,Male,House,Mortgage,>25,>500
143,1,36 months,Male,House,Own,20-25,300-500
144,1,36 months,Male,Car,Rent,>25,>500
145,0,36 months,Male,Other,Mortgage,20-25,300-500
146,1,36 months,Male,Medical,Mortgage,20-25,300-500
147,1,36 months,Female,Car,Mortgage,>25,300-500
148,1,36 months,Female,Other,Mortgage,20-25,>500
149,1,36 months,Female,Car,Rent,>25,>500
150,0,60 months,Male,Car,Rent,>25,>500
151,1,36 months,Male,Other,Rent,20-25,300-500
152,0,36 months,Female,House,Rent,>25,>500
153,1,36 months,Female,House,Mortgage,>25,300-500
154,0,36 months,Female,Other,Rent,>25,>500
155,0,36 months,Male,Car,Rent,20-25,>500
156,1,36 months,Male,House,Mortgage,>25,>500
157,1,36 months,Male,Car,Mortgage,20-25,300-500
158,0,36 months,Female,Medical,Rent,>25,>500
159,1,36 months,Male,Car,Rent,20-25,300-500
160,1,36 months,Female,Medical,Mortgage,>25,300-500
161,0,36 months,Female,House,Mortgage,>25,>500
162,1,36 months,Female,House,Rent,>25,300-500
163,1,36 months,Female,Car,Mortgage,20-25,300-500
164,1,36 months,Female,Personal,Mortgage,>25,300-500
165,1,36 months,Male,Car,Own,20-25,300-500
166,0,36 months,Male,Car,Mortgage,20-25,300-500
167,1,36 months,Male,House,Mortgage,20-25,>500
168,0,36 months,Female,Wedding,Rent,>25,>500
169,1,36 months,Female,Personal,Mortgage,>25,>500
170,1,36 months,Male,House,Rent,20-25,300-500
171,0,36 months,Female,House,Mortgage,>25,>500
172,1,36 months,Female,House,Mortgage,>25,300-500
173,0,36 months,Male,House,Rent,20-25,>500
174,0,36 months,Male,Other,Mortgage,20-25,>500
175,1,36 months,Male,Car,Rent,20-25,300-500
176,1,36 months,Male,House,Mortgage,20-25,300-500
177,0,36 months,Male,House,Mortgage,>25,>500
178,0,36 months,Female,Car,Rent,>25,>500
179,1,36 months,Female,House,Mortgage,20-25,>500
180,1,36 months,Female,House,Mortgage,20-25,300-500
181,1,36 months,Female,House,Rent,>25,>500
182,1,36 months,Female,House,Mortgage,>25,300-500
183,1,36 months,Male,Car,Rent,>25,>500
184,0,36 months,Female,House,Mortgage,20-25,300-500
185,1,36 months,Male,Wedding,Rent,20-25,300-500
186,1,36 months,Female,Car,Mortgage,>25,300-500
187,1,36 months,Female,Car,Mortgage,>25,300-500
188,0,36 months,Female,Car,Rent,>25,>500
189,1,36 months,Female,House,Rent,>25,300-500
190,1,36 months,Male,House,Mortgage,>25,>500
191,1,36 months,Female,Other,Rent,>25,300-500
192,0,36 months,Female,House,Rent,20-25,>500
193,1,36 months,Female,Wedding,Rent,>25,300-500
194,0,36 months,Female,Other,Rent,>25,>500
195,1,36 months,Male,Personal,Own,20-25,300-500
196,1,36 months,Male,Medical,Mortgage,20-25,>500
197,0,36 months,Female,House,Own,20-25,>500
198,1,36 months,Male,Other,Mortgage,>25,>500
199,0,36 months,Female,House,Mortgage,>25,>500
200,0,36 months,Male,Car,Rent,20-25,300-500
201,0,36 months,Male,Car,Mortgage,20-25,300-500
202,1,36 months,Female,House,Mortgage,20-25,>500
203,1,36 months,Female,House,Rent,>25,300-500
204,0,36 months,Male,House,Mortgage,>25,>500
205,0,60 months,Male,House,Mortgage,>25,300-500
206,1,36 months,Female,House,Mortgage,>25,300-500
207,1,36 months,Female,House,Rent,20-25,>500
208,1,36 months,Male,Car,Rent,>25,>500
209,1,36 months,Female,House,Mortgage,>25,300-500
210,0,60 months,Male,House,Mortgage,>25,>500
211,0,36 months,Female,Wedding,Own,20-25,>500
212,1,36 months,Male,House,Rent,20-25,>500
213,1,36 months,Male,House,Rent,20-25,300-500
214,1,36 months,Female,Car,Mortgage,>25,300-500
215,1,36 months,Female,Other,Mortgage,20-25,300-500
216,1,36 months,Female,Medical,Mortgage,>25,300-500
217,0,36 months,Male,House,Mortgage,20-25,>500
218,0,60 months,Male,Car,Own,20-25,>500
219,0,36 months,Male,House,Mortgage,20-25,>500
220,1,36 months,Male,Personal,Own,20-25,300-500
221,0,36 months,Female,House,Mortgage,20-25,300-500
222,0,36 months,Male,House,Own,>25,>500
223,0,36 months,Female,House,Rent,>25,>500
224,1,36 months,Male,House,Rent,20-25,300-500
225,1,36 months,Male,Car,Mortgage,>25,>500
226,0,36 months,Male,House,Own,20-25,>500
227,1,36 months,Male,Medical,Rent,20-25,300-500
228,1,36 months,Female,House,Rent,>25,300-500
229,1,36 months,Male,House,Mortgage,20-25,300-500
230,1,36 months,Female,House,Mortgage,>25,300-500
231,1,36 months,Male,House,Mortgage,20-25,300-500
232,0,36 months,Male,House,Rent,20-25,300-500
233,0,36 months,Male,House,Mortgage,20-25,>500
234,0,36 months,Female,Car,Rent,20-25,>500
235,1,36 months,Male,House,Rent,20-25,300-500
236,1,36 months,Male,Other,Rent,20-25,300-500
237,1,36 months,Male,House,Rent,20-25,300-500
238,0,60 months,Male,Car,Rent,>25,300-500
239,1,36 months,Female,Car,Mortgage,20-25,300-500
240,1,36 months,Male,Car,Rent,20-25,300-500
241,0,36 months,Male,House,Rent,20-25,>500
242,0,36 months,Female,House,Rent,>25,>500
243,0,36 months,Male,House,Rent,20-25,300-500
244,0,36 months,Female,House,Mortgage,>25,>500
245,1,36 months,Male,Car,Rent,20-25,300-500
246,1,36 months,Male,House,Mortgage,20-25,>500
247,1,36 months,Male,Medical,Rent,20-25,300-500
248,0,60 months,Male,House,Mortgage,>25,>500
249,1,36 months,Female,House,Mortgage,20-25,>500
250,1,60 months,Male,Medical,Mortgage,20-25,>500
251,1,36 months,Male,Other,Rent,20-25,>500
252,1,36 months,Female,House,Rent,>25,>500
253,0,36 months,Female,Car,Rent,>25,>500
254,1,36 months,Female,House,Rent,>25,300-500
255,1,36 months,Male,House,Rent,20-25,300-500
256,1,36 months,Male,Other,Rent,20-25,300-500
257,0,36 months,Male,Personal,Mortgage,20-25,>500
258,1,36 months,Male,House,Rent,>25,>500
259,1,36 months,Male,House,Rent,20-25,300-500
260,1,36 months,Male,House,Rent,>25,>500
261,1,36 months,Female,House,Mortgage,>25,300-500
262,0,36 months,Female,Car,Rent,>25,>500
263,1,36 months,Male,Car,Rent,20-25,300-500
264,0,36 months,Female,House,Rent,>25,>500
265,1,36 months,Male,Wedding,Rent,20-25,300-500
266,1,36 months,Male,Car,Mortgage,>25,>500
267,1,36 months,Female,House,Rent,>25,>500
268,1,36 months,Female,Wedding,Rent,>25,>500
269,0,36 months,Female,House,Mortgage,>25,>500
270,1,36 months,Female,Car,Rent,20-25,>500
271,1,36 months,Male,Other,Mortgage,>25,>500
272,1,60 months,Male,House,Mortgage,20-25,>500
273,0,36 months,Female,House,Mortgage,>25,>500
274,0,36 months,Female,Personal,Mortgage,>25,>500
275,1,36 months,Male,Car,Rent,>25,>500
276,0,36 months,Male,House,Mortgage,20-25,300-500
277,1,36 months,Female,Personal,Mortgage,>25,>500
278,1,36 months,Female,House,Rent,>25,300-500
279,1,36 months,Male,Other,Mortgage,20-25,300-500
280,1,36 months,Male,House,Mortgage,20-25,300-500
281,0,36 months,Female,House,Rent,20-25,>500
282,1,36 months,Male,Other,Rent,20-25,300-500
283,0,36 months,Male,Personal,Mortgage,>25,>500
284,1,36 months,Male,House,Mortgage,20-25,300-500
285,1,36 months,Female,Personal,Mortgage,>25,300-500
286,1,36 months,Female,House,Rent,20-25,>500
287,1,36 months,Female,Personal,Rent,20-25,300-500
288,1,36 months,Female,House,Mortgage,>25,300-500
289,1,36 months,Male,House,Mortgage,>25,>500
290,1,36 months,Male,House,Rent,20-25,300-500
291,1,36 months,Male,House,Rent,>25,>500
292,1,60 months,Male,Personal,Mortgage,20-25,>500
293,1,36 months,Female,Personal,Mortgage,>25,300-500
294,0,60 months,Male,House,Rent,>25,300-500
295,1,36 months,Male,Personal,Mortgage,20-25,300-500
296,0,36 months,Male,Car,Rent,20-25,>500
297,0,36 months,Male,House,Rent,20-25,>500
298,0,60 months,Male,House,Rent,>25,300-500
299,0,36 months,Male,Car,Rent,20-25,300-500
300,1,36 months,Female,Personal,Rent,>25,300-500
301,1,36 months,Male,Car,Rent,>25,>500
302,1,36 months,Male,House,Rent,20-25,300-500
303,1,36 months,Male,House,Mortgage,20-25,300-500
304,1,60 months,Male,Personal,Mortgage,20-25,>500
305,0,36 months,Female,House,Rent,20-25,>500
306,1,36 months,Male,House,Rent,20-25,300-500
307,1,36 months,Male,House,Mortgage,>25,>500
308,1,36 months,Male,House,Mortgage,>25,>500
309,1,36 months,Female,House,Rent,>25,300-500
310,0,36 months,Male,House,Rent,>25,>500
311,1,36 months,Female,House,Own,20-25,>500
312,0,36 months,Female,Wedding,Mortgage,>25,>500
313,0,36 months,Female,House,Own,20-25,>500
314,1,36 months,Male,Car,Own,20-25,300-500
315,1,36 months,Male,House,Mortgage,20-25,300-500
316,1,36 months,Male,Other,Mortgage,20-25,300-500
317,1,36 months,Female,House,Mortgage,>25,300-500
318,0,60 months,Male,House,Rent,20-25,>500
319,0,36 months,Male,House,Mortgage,20-25,>500
320,1,36 months,Female,House,Rent,>25,300-500
321,0,36 months,Female,House,Mortgage,>25,>500
322,1,36 months,Male,Personal,Mortgage,20-25,300-500
323,0,36 months,Female,Other,Rent,>25,>500
324,1,36 months,Male,House,Rent,>25,>500
325,0,36 months,Male,Car,Rent,20-25,300-500
326,1,36 months,Male,House,Mortgage,20-25,300-500
327,1,36 months,Male,Personal,Mortgage,20-25,300-500
328,1,36 months,Female,House,Rent,>25,300-500
329,1,36 months,Male,House,Mortgage,20-25,300-500
330,1,36 months,Male,House,Rent,20-25,300-500
331,1,60 months,Male,House,Rent,20-25,>500
332,0,60 months,Male,Wedding,Mortgage,>25,300-500
333,1,36 months,Male,House,Mortgage,20-25,300-500
334,0,60 months,Male,House,Rent,>25,300-500
335,0,36 months,Female,House,Mortgage,20-25,>500
336,1,36 months,Female,Car,Mortgage,20-25,300-500
337,1,36 months,Female,House,Rent,>25,300-500
338,0,36 months,Male,House,Mortgage,20-25,>500
339,1,36 months,Female,House,Mortgage,>25,>500
340,1,36 months,Female,Other,Rent,>25,300-500
341,1,36 months,Male,House,Rent,20-25,300-500
342,1,36 months,Female,House,Rent,>25,300-500
343,0,60 months,Male,House,Mortgage,>25,>500
344,1,36 months,Male,House,Mortgage,20-25,>500
345,1,36 months,Male,House,Mortgage,20-25,300-500
346,1,36 months,Female,House,Rent,>25,300-500
347,0,36 months,Male,Wedding,Rent,>25,>500
348,1,36 months,Male,House,Mortgage,>25,>500
349,1,36 months,Male,House,Own,20-25,300-500
350,0,36 months,Female,Other,Rent,>25,>500
351,1,36 months,Female,Car,Mortgage,>25,300-500
352,0,36 months,Female,Car,Rent,>25,>500
353,1,36 months,Male,House,Rent,>25,>500
354,1,36 months,Female,Personal,Mortgage,20-25,300-500
355,0,36 months,Female,Personal,Mortgage,20-25,>500
356,1,36 months,Female,Car,Mortgage,>25,300-500
357,1,36 months,Male,House,Rent,>25,>500
358,0,60 months,Male,House,Mortgage,>25,>500
359,1,36 months,Male,House,Mortgage,>25,>500
360,0,36 months,Male,House,Rent,>25,>500
361,0,36 months,Male,Other,Rent,20-25,>500
362,0,36 months,Male,House,Rent,20-25,300-500
363,1,36 months,Female,House,Mortgage,20-25,300-500
364,0,36 months,Female,House,Own,>25,>500
365,1,36 months,Male,House,Rent,>25,>500
366,1,36 months,Male,Car,Rent,20-25,300-500
367,1,36 months,Male,House,Own,>25,>500
368,1,36 months,Female,House,Mortgage,>25,300-500
369,0,36 months,Female,Personal,Mortgage,>25,>500
370,1,36 months,Male,Car,Rent,20-25,300-500
371,1,36 months,Female,House,Rent,>25,300-500
372,1,36 months,Male,Car,Rent,20-25,300-500
373,1,36 months,Female,Personal,Rent,>25,>500
374,1,36 months,Female,House,Mortgage,20-25,300-500
375,1,36 months,Female,House,Mortgage,>25,300-500
376,1,36 months,Male,Car,Rent,20-25,300-500
377,1,36 months,Male,Other,Mortgage,>25,>500
378,0,60 months,Male,Personal,Rent,>25,300-500
379,1,36 months,Male,House,Rent,20-25,>500
380,1,36 months,Female,Other,Mortgage,>25,300-500
381,0,60 months,Male,House,Rent,>25,300-500
382,1,60 months,Male,House,Mortgage,20-25,>500
383,1,36 months,Female,House,Mortgage,>25,300-500
384,0,36 months,Male,Other,Rent,>25,>500
385,1,36 months,Male,Personal,Mortgage,>25,>500
386,0,36 months,Female,Wedding,Mortgage,20-25,>500
387,1,36 months,Male,House,Mortgage,>25,>500
388,0,36 months,Male,House,Rent,20-25,300-500
389,1,36 months,Female,House,Rent,>25,300-500
390,0,36 months,Male,Car,Mortgage,20-25,300-500
391,0,36 months,Male,House,Rent,20-25,300-500
392,1,36 months,Male,House,Mortgage,>25,>500
393,0,60 months,Male,House,Mortgage,20-25,>500
394,0,36 months,Female,House,Rent,>25,>500
395,1,36 months,Female,House,Rent,>25,300-500
396,1,36 months,Male,House,Mortgage,>25,>500
397,0,36 months,Male,House,Rent,>25,>500
398,1,36 months,Male,Other,Rent,20-25,300-500
399,1,36 months,Male,Other,Rent,20-25,300-500
400,0,60 months,Male,House,Rent,>25,>500
401,1,36 months,Male,House,Mortgage,>25,>500
402,1,60 months,Male,other,Mortgage,20-25,>500
403,1,36 months,Female,Wedding,Rent,>25,300-500
404,1,36 months,Male,House,Mortgage,>25,>500
405,0,36 months,Female,House,Rent,20-25,>500
406,0,36 months,Female,Car,Rent,20-25,>500
407,1,36 months,Male,Medical,Mortgage,>25,>500
408,1,36 months,Female,Car,Mortgage,>25,>500
409,0,36 months,Female,Car,Mortgage,20-25,>500
410,0,36 months,Male,House,Rent,20-25,300-500
411,1,36 months,Female,Personal,Mortgage,>25,300-500
412,0,36 months,Male,House,Rent,20-25,300-500
413,0,36 months,Male,Other,Rent,>25,>500
414,1,36 months,Female,House,Mortgage,>25,300-500
415,1,36 months,Male,House,Rent,20-25,300-500
416,1,36 months,Male,Car,Rent,>25,>500
417,0,36 months,Female,House,Rent,20-25,>500
418,1,36 months,Male,Car,Mortgage,20-25,>500
419,0,36 months,Female,Car,Rent,>25,>500
420,1,36 months,Male,Wedding,Mortgage,20-25,300-500
421,1,36 months,Female,Car,Rent,20-25,300-500
422,1,36 months,Female,House,Rent,>25,300-500
423,1,36 months,Male,House,Rent,>25,>500
424,0,36 months,Male,House,Rent,20-25,>500
425,1,36 months,Male,Car,Mortgage,>25,>500
426,1,36 months,Male,Car,Rent,20-25,300-500
427,1,36 months,Male,House,Mortgage,20-25,300-500
428,1,36 months,Female,Car,Mortgage,>25,300-500
429,1,36 months,Male,House,Mortgage,>25,>500
430,1,36 months,Male,House,Rent,>25,>500
431,1,36 months,Male,Wedding,Mortgage,20-25,300-500
432,1,36 months,Male,House,Rent,20-25,300-500
433,1,36 months,Male,House,Mortgage,20-25,300-500
434,0,36 months,Female,Other,Mortgage,20-25,>500
435,1,36 months,Male,Car,Mortgage,>25,>500
436,1,36 months,Male,Other,Rent,>25,>500
437,0,60 months,Male,House,Rent,>25,300-500
438,1,36 months,Female,Other,Own,20-25,300-500
439,1,36 months,Female,Other,Mortgage,20-25,>500
440,1,36 months,Male,House,Mortgage,20-25,>500
441,1,36 months,Female,House,Mortgage,>25,300-500
442,1,36 months,Female,Car,Mortgage,>25,>500
443,1,36 months,Male,House,Rent,20-25,300-500
444,1,36 months,Male,House,Rent,20-25,300-500
445,1,36 months,Male,Car,Rent,>25,>500
446,0,36 months,Male,House,Rent,>25,>500
447,1,36 months,Male,Car,Rent,20-25,300-500
448,1,36 months,Female,House,Own,20-25,>500
449,1,36 months,Male,Car,Mortgage,20-25,300-500
450,1,36 months,Male,Personal,Own,20-25,300-500
451,0,36 months,Male,House,Mortgage,20-25,300-500
452,1,36 months,Male,Car,Rent,20-25,300-500
453,1,36 months,Female,Car,Own,>25,300-500
454,0,36 months,Female,House,Rent,>25,>500
455,1,36 months,Male,House,Rent,>25,>500
456,1,36 months,Male,Car,Mortgage,20-25,300-500
457,0,36 months,Male,House,Rent,20-25,>500
458,1,36 months,Male,House,Rent,20-25,300-500
459,0,60 months,Male,House,Mortgage,>25,>500
460,1,36 months,Male,House,Rent,20-25,300-500
461,1,36 months,Male,Car,Rent,20-25,300-500
462,0,36 months,Female,House,Mortgage,20-25,>500
463,1,36 months,Female,Other,Mortgage,>25,300-500
464,0,60 months,Male,Car,Mortgage,>25,300-500
465,1,36 months,Male,Car,Rent,20-25,300-500
466,1,36 months,Female,House,Rent,20-25,300-500
467,1,36 months,Female,House,Rent,>25,300-500
468,1,60 months,Male,House,Mortgage,20-25,>500
469,1,36 months,Male,House,Rent,20-25,300-500
470,1,36 months,Male,House,Mortgage,>25,>500
471,1,36 months,Female,House,Mortgage,>25,300-500
472,1,36 months,Female,House,Mortgage,>25,300-500
473,1,36 months,Female,House,Mortgage,>25,300-500
474,0,36 months,Female,Car,Mortgage,>25,>500
475,1,36 months,Female,Medical,Mortgage,>25,300-500
476,1,36 months,Male,House,Rent,20-25,300-500
477,0,36 months,Male,House,Rent,>25,>500
478,1,36 months,Female,Other,Rent,>25,300-500
479,1,36 months,Male,Personal,Mortgage,>25,>500
480,0,36 months,Female,House,Mortgage,20-25,>500
481,0,36 months,Male,Car,Rent,20-25,300-500
482,1,36 months,Female,House,Rent,>25,300-500
483,0,36 months,Female,Car,Rent,>25,>500
484,1,36 months,Female,House,Mortgage,>25,300-500
485,1,36 months,Male,House,Mortgage,20-25,300-500
486,1,36 months,Male,House,Rent,20-25,300-500
487,0,36 months,Female,House,Mortgage,>25,>500
488,1,36 months,Male,House,Rent,20-25,300-500
489,1,36 months,Male,House,Rent,20-25,300-500
490,1,36 months,Female,House,Rent,>25,300-500
491,0,36 months,Female,House,Rent,>25,>500
492,0,60 months,Male,House,Mortgage,>25,300-500
493,0,36 months,Female,Medical,Rent,>25,>500
494,1,36 months,Male,House,Rent,20-25,300-500
495,0,36 months,Female,House,Own,20-25,>500
496,0,36 months,Female,House,Own,>25,>500
497,0,36 months,Male,House,Mortgage,20-25,300-500
498,1,36 months,Male,House,Mortgage,20-25,300-500
499,0,36 months,Male,Car,Rent,20-25,>500
500,0,36 months,Male,House,Rent,>25,>500
501,1,36 months,Female,Car,Mortgage,>25,300-500
502,1,36 months,Male,House,Rent,>25,>500
503,1,36 months,Male,House,Mortgage,20-25,300-500
504,1,36 months,Female,House,Mortgage,>25,>500
505,1,60 months,Male,Car,Mortgage,20-25,>500
506,1,36 months,Male,Car,Rent,20-25,300-500
507,0,60 months,Male,Car,Mortgage,>25,>500
508,1,36 months,Female,House,Mortgage,>25,300-500
509,1,36 months,Male,Other,Rent,>25,>500
510,1,36 months,Male,House,Mortgage,>25,>500
511,0,36 months,Male,House,Rent,20-25,>500
512,1,36 months,Female,House,Mortgage,>25,300-500
513,1,36 months,Male,House,Mortgage,>25,>500
514,1,36 months,Female,Car,Rent,>25,300-500
515,1,36 months,Male,House,Rent,20-25,300-500
516,0,36 months,Male,House,Rent,>25,>500
517,1,36 months,Male,House,Rent,20-25,300-500
518,0,36 months,Male,Car,Rent,20-25,300-500
519,1,36 months,Male,House,Rent,20-25,300-500
520,0,36 months,Male,House,Rent,20-25,300-500
521,1,36 months,Male,Car,Own,20-25,300-500
522,1,36 months,Male,Car,Rent,20-25,300-500
523,0,36 months,Female,Car,Mortgage,20-25,>500
524,1,36 months,Male,Car,Mortgage,20-25,300-500
525,1,36 months,Male,House,Rent,>25,>500
526,1,36 months,Female,House,Rent,>25,300-500
527,0,60 months,Male,House,Mortgage,>25,300-500
528,1,36 months,Male,House,Rent,>25,>500
529,1,36 months,Male,Car,Mortgage,20-25,300-500
530,1,36 months,Male,House,Rent,>25,>500
531,1,36 months,Male,Wedding,Rent,20-25,300-500
532,1,36 months,Male,House,Rent,20-25,300-500
533,0,60 months,Male,House,Rent,>25,>500
534,1,36 months,Male,House,Mortgage,20-25,300-500
535,1,36 months,Male,Medical,Rent,>25,>500
536,1,36 months,Male,Car,Mortgage,>25,>500
537,1,36 months,Female,House,Own,>25,>500
538,0,36 months,Female,House,Rent,>25,>500
539,0,36 months,Female,Personal,Mortgage,>25,>500
540,1,36 months,Male,House,Mortgage,20-25,>500
541,0,36 months,Male,House,Mortgage,>25,>500
542,1,36 months,Male,House,Mortgage,20-25,300-500
543,1,36 months,Female,House,Mortgage,>25,300-500
544,0,36 months,Male,House,Rent,20-25,300-500
545,1,36 months,Male,Car,Rent,20-25,300-500
546,0,60 months,Male,House,Mortgage,>25,300-500
